,cavsCost,noncavsCost,totCost,cavsFlow,nonCavsFlow,pedestrianFlow,rebalancingFlow,bikeFlow,subwayFlow
0,23440.721900133136,23874.839003717672,23870.49783268183,130.02444175625357,15016.494115383439,9.982110886724422e-11,32.55833195899799,0,0
1,23554.19661378189,23704.150989835,23689.15555222969,1293.5128405947507,13596.702577823722,1.3750235397423096e-11,326.558564972758,0,0
2,23446.0296694926,23265.244870730472,23301.4018304829,2554.001366030831,12023.414523905947,7.461040547425107e-12,647.7185307205995,0,0
3,23250.989964199965,22632.431422927762,22817.998985309427,3803.7605574249933,10492.389211944637,2.4719341646053375e-11,983.7532949037685,0,0
4,23046.52575740235,22306.589957121665,22602.564277233934,5032.30998531872,8981.501334043196,4.003906206276172e-11,1324.7120685138218,0,0
5,22901.69079509241,22078.142533314258,22489.916664203334,6263.08170594899,7447.969433738155,1.3078100577601e-11,1675.1270671027244,0,0
6,22756.778556282385,21874.475399328243,22403.85729350073,7483.14173261589,5927.437730428732,1.457779273681422e-11,2015.1208173110028,0,0
7,22563.624264592596,21710.182893794445,22307.591853353148,8671.856530408622,4414.543416873109,1.1368719973381512e-11,2343.5887192049154,0,0
8,22319.161004086534,21172.808804187895,22089.890564106805,9883.411399725463,2936.643322279218,3.867952151294009e-11,2641.396838030772,0,0
9,22076.64594559814,20683.342688407447,21937.315619879068,11100.685210202912,1457.0419874715183,2.4837179378212956e-11,2947.6820020817263,0,0
10,21868.29132691597,20400.115045713294,21853.609564103943,12206.143452425173,145.7658226366617,3.111487546394716e-11,3198.951929562097,0,0
