,Net,A,V,W,type,obj,t,RG,n,g
0,Anaheim,914,416,1406,system-centric,1306084.8680843955,5.928324863,0.0008883529015661009,,
1,Anaheim,914,416,1406,user-centric,1326798.4615456627,0.755219658999998,0.0003537070761399964,,
2,Anaheim,914,416,1406,CARS2-LP,1441202.6369357214,0.23707795143127441,,2.0,1.0
3,Anaheim,914,416,1406,CARS2-QP,1334448.0932176013,0.7550649642944336,,2.0,1.0
4,Anaheim,914,416,1406,CARS3-LP,1372614.6161662706,0.2914588451385498,,3.0,1.0
5,Anaheim,914,416,1406,CARS3-QP,1321015.6662593686,0.7935750484466553,,3.0,1.0
6,Anaheim,914,416,1406,CARS4-LP,1328577.161984204,0.5600988864898682,,4.0,1.0
7,Anaheim,914,416,1406,CARS4-QP,1311871.2052420676,0.9799931049346924,,4.0,1.0
8,Anaheim,914,416,1406,CARS5-LP,1310489.154014022,0.7815630435943604,,5.0,1.0
9,Anaheim,914,416,1406,CARS5-QP,1306075.275535914,1.0875170230865479,,5.0,1.0
10,Anaheim,914,416,1406,CARS6-LP,1308272.7518773812,0.9406299591064453,,6.0,1.0
11,Anaheim,914,416,1406,CARS6-QP,1306063.0595097488,1.1692249774932861,,6.0,1.0
12,Anaheim,914,416,1406,CARS7-LP,1307648.31724877,0.9958920478820801,,7.0,1.0
13,Anaheim,914,416,1406,CARS7-QP,1305619.954677244,1.2991900444030762,,7.0,1.0
14,Anaheim,914,416,1406,CARS8-LP,1307514.100589186,1.1305978298187256,,8.0,1.0
15,Anaheim,914,416,1406,CARS8-QP,1305619.9551233505,1.2620701789855957,,8.0,1.0
