,Net,A,V,W,type,obj,t,RG,n,g
0,EMA,24,8,56,system-centric,189602.31154771047,3.369130064,0.025425223851482593,,
1,EMA,24,8,56,user-centric,188621.04320085506,3.206130773000001,0.02370776753655677,,
2,EMA,24,8,56,CARS2-LP,417489.0065314668,0.0014829635620117188,,2.0,4.0
3,EMA,24,8,56,CARS2-QP,238039.91329665808,0.002805948257446289,,2.0,4.0
4,EMA,24,8,56,CARS3-LP,282148.55260658637,0.0019779205322265625,,3.0,4.0
5,EMA,24,8,56,CARS3-QP,227264.7027896512,0.003281831741333008,,3.0,4.0
6,EMA,24,8,56,CARS4-LP,206371.70542156135,0.0021491050720214844,,4.0,4.0
7,EMA,24,8,56,CARS4-QP,188115.40985371877,0.0035371780395507812,,4.0,4.0
8,EMA,24,8,56,CARS5-LP,196068.52563521866,0.002106189727783203,,5.0,4.0
9,EMA,24,8,56,CARS5-QP,189571.0000969011,0.0034999847412109375,,5.0,4.0
10,EMA,24,8,56,CARS6-LP,195128.4806205309,0.0021970272064208984,,6.0,4.0
11,EMA,24,8,56,CARS6-QP,187001.5409899438,0.006875038146972656,,6.0,4.0
12,EMA,24,8,56,CARS7-LP,188509.12135394925,0.002641916275024414,,7.0,4.0
13,EMA,24,8,56,CARS7-QP,187234.47478100273,0.00415492057800293,,7.0,4.0
14,EMA,24,8,56,CARS8-LP,188176.57744541203,0.002537965774536133,,8.0,4.0
15,EMA,24,8,56,CARS8-QP,186576.83889358753,0.004183053970336914,,8.0,4.0
