,Net,A,V,W,type,obj,t,RG,n,g
0,EMA_mid,258,74,1113,system-centric,27491.055621323667,15.287226395999994,0.012421840190293703,,
1,EMA_mid,258,74,1113,user-centric,28298.935288677432,2.1130412549999846,0.00026201670218455096,,
2,EMA_mid,258,74,1113,CARS2-LP,36946.42791329436,0.0748598575592041,,2.0,1.0
3,EMA_mid,258,74,1113,CARS2-QP,28161.32470244582,0.1421339511871338,,2.0,1.0
4,EMA_mid,258,74,1113,CARS3-LP,32243.274283599254,0.08084797859191895,,3.0,1.0
5,EMA_mid,258,74,1113,CARS3-QP,27919.578610003668,0.17369604110717773,,3.0,1.0
6,EMA_mid,258,74,1113,CARS4-LP,28511.02476965226,0.07716488838195801,,4.0,1.0
7,EMA_mid,258,74,1113,CARS4-QP,27728.815324465377,0.22914505004882812,,4.0,1.0
8,EMA_mid,258,74,1113,CARS5-LP,27439.53454878506,0.08901810646057129,,5.0,1.0
9,EMA_mid,258,74,1113,CARS5-QP,27354.253407979657,0.30068087577819824,,5.0,1.0
10,EMA_mid,258,74,1113,CARS6-LP,27502.738302184433,0.08993387222290039,,6.0,1.0
11,EMA_mid,258,74,1113,CARS6-QP,27407.928810322952,0.2901270389556885,,6.0,1.0
12,EMA_mid,258,74,1113,CARS7-LP,27462.67643118116,0.10486817359924316,,7.0,1.0
13,EMA_mid,258,74,1113,CARS7-QP,27398.785998319756,0.32920002937316895,,7.0,1.0
14,EMA_mid,258,74,1113,CARS8-LP,27462.67643118116,0.10933589935302734,,8.0,1.0
15,EMA_mid,258,74,1113,CARS8-QP,27398.78620277652,0.3484950065612793,,8.0,1.0
