,Net,A,V,W,type,obj,t,RG,n,g
0,NYC,3137,1351,8658,system-centric,23162.499920151742,152.65742265,9.738589195736461e-05,,
1,NYC,3137,1351,8658,user-centric,23243.779553586595,4.062884135000019,6.945918490483022e-05,,
2,NYC,3137,1351,8658,CARS2-LP,23714.098249162118,15.350702047348022,,2.0,0.5
3,NYC,3137,1351,8658,CARS2-QP,23627.106468289876,34.154579162597656,,2.0,0.5
4,NYC,3137,1351,8658,CARS3-LP,23714.098249162118,14.08177900314331,,3.0,0.5
5,NYC,3137,1351,8658,CARS3-QP,23391.677008090686,42.05294394493103,,3.0,0.5
6,NYC,3137,1351,8658,CARS4-LP,23422.565876830045,12.772170066833496,,4.0,0.5
7,NYC,3137,1351,8658,CARS4-QP,23201.917359449293,60.09503197669983,,4.0,0.5
8,NYC,3137,1351,8658,CARS5-LP,23219.550444308894,16.947813987731934,,5.0,0.5
9,NYC,3137,1351,8658,CARS5-QP,23169.25889403975,77.0151789188385,,5.0,0.5
10,NYC,3137,1351,8658,CARS6-LP,23211.20210051469,44.221729040145874,,6.0,0.5
11,NYC,3137,1351,8658,CARS6-QP,23166.874296972037,118.87745094299316,,6.0,0.5
12,NYC,3137,1351,8658,CARS7-LP,23192.43575938632,40.85740804672241,,7.0,0.5
13,NYC,3137,1351,8658,CARS7-QP,23164.670137227382,112.17249703407288,,7.0,0.5
14,NYC,3137,1351,8658,CARS8-LP,23192.43575938632,50.327986001968384,,8.0,0.5
15,NYC,3137,1351,8658,CARS8-QP,23164.67012451682,106.97236013412476,,8.0,0.5
