,Net,A,V,W,type,obj,t,RG,n,g
0,Sioux Falls,76,24,528,system-centric,7303695.879887371,5.309426815,0.007092204483173256,,
1,Sioux Falls,76,24,528,user-centric,7521719.789814013,5.160609654,0.0165567398942775,,
2,Sioux Falls,76,24,528,CARS2-LP,9379284.272345396,0.010128021240234375,,2.0,1.0
3,Sioux Falls,76,24,528,CARS2-QP,8107832.99411341,0.03576397895812988,,2.0,1.0
4,Sioux Falls,76,24,528,CARS3-LP,8245558.5622863835,0.013089895248413086,,3.0,1.0
5,Sioux Falls,76,24,528,CARS3-QP,7658139.286598442,0.03258013725280762,,3.0,1.0
6,Sioux Falls,76,24,528,CARS4-LP,7568072.5091874525,0.021160125732421875,,4.0,1.0
7,Sioux Falls,76,24,528,CARS4-QP,7343313.910773833,0.042755842208862305,,4.0,1.0
8,Sioux Falls,76,24,528,CARS5-LP,7615791.6542859925,0.02502894401550293,,5.0,1.0
9,Sioux Falls,76,24,528,CARS5-QP,7313727.666647567,0.0462949275970459,,5.0,1.0
10,Sioux Falls,76,24,528,CARS6-LP,7315296.330485245,0.024229049682617188,,6.0,1.0
11,Sioux Falls,76,24,528,CARS6-QP,7259184.118384016,0.04265189170837402,,6.0,1.0
12,Sioux Falls,76,24,528,CARS7-LP,7242228.016015619,0.027790069580078125,,7.0,1.0
13,Sioux Falls,76,24,528,CARS7-QP,7233915.023288144,0.04860401153564453,,7.0,1.0
14,Sioux Falls,76,24,528,CARS8-LP,7244967.042062937,0.027183055877685547,,8.0,1.0
15,Sioux Falls,76,24,528,CARS8-QP,7226575.63020023,0.048037052154541016,,8.0,1.0
