,Net,A,V,W,type,obj,t
0,Anaheim,914,416,1406,system-centric,1306850.8211366134,56.114154478
1,Anaheim,914,416,1406,user-centric,1322541.913400808,57.27271163099999
2,Anaheim,914,416,1406,CARS2-LP,1387612.8361647357,0.6561169624328613
3,Anaheim,914,416,1406,CARS2-QP,1325317.620860451,0.9638121128082275
4,Anaheim,914,416,1406,CARS3-LP,1350593.1865853833,0.8814129829406738
5,Anaheim,914,416,1406,CARS3-QP,1313991.1557884244,0.9518170356750488
6,Anaheim,914,416,1406,CARS4-LP,1316638.3720147624,1.053205966949463
7,Anaheim,914,416,1406,CARS4-QP,1309040.0225671201,1.0280418395996094
8,Anaheim,914,416,1406,CARS5-LP,1310243.6652982645,1.3212640285491943
9,Anaheim,914,416,1406,CARS5-QP,1306221.520570265,1.1479480266571045
10,Anaheim,914,416,1406,CARS6-LP,1307541.5212493627,1.5718989372253418
11,Anaheim,914,416,1406,CARS6-QP,1305957.6896892234,1.2589879035949707
12,Anaheim,914,416,1406,CARS7-LP,1306744.1831096334,1.6704180240631104
13,Anaheim,914,416,1406,CARS7-QP,1305283.933340912,1.329028844833374
