,Net,A,V,W,type,obj,t,RG,n,g
0,Anaheim,914,416,1406,system-centric,1306183.1134231028,60.43881542100001,1.109599713926958e-05,,
1,Anaheim,914,416,1406,user-centric,1322050.3657718957,64.90806935100001,8.611985244480193e-05,,
2,Anaheim,914,416,1406,CARS2-LP,1387441.7380056872,0.4667232036590576,,2.0,1.0
3,Anaheim,914,416,1406,CARS2-QP,1325317.6205827303,0.6965820789337158,,2.0,1.0
4,Anaheim,914,416,1406,CARS3-LP,1350278.388227551,0.509606122970581,,3.0,1.0
5,Anaheim,914,416,1406,CARS3-QP,1313991.155776085,0.7854719161987305,,3.0,1.0
6,Anaheim,914,416,1406,CARS4-LP,1316810.147821782,0.657249927520752,,4.0,1.0
7,Anaheim,914,416,1406,CARS4-QP,1309040.0225834337,0.9272141456604004,,4.0,1.0
8,Anaheim,914,416,1406,CARS5-LP,1310149.252766817,0.8326129913330078,,5.0,1.0
9,Anaheim,914,416,1406,CARS5-QP,1306221.5205731578,1.1111938953399658,,5.0,1.0
10,Anaheim,914,416,1406,CARS6-LP,1307493.6120388873,0.9892258644104004,,6.0,1.0
11,Anaheim,914,416,1406,CARS6-QP,1305957.689687648,1.0829880237579346,,6.0,1.0
12,Anaheim,914,416,1406,CARS7-LP,1306615.0997338076,1.0762381553649902,,7.0,1.0
13,Anaheim,914,416,1406,CARS7-QP,1305283.9332312916,1.2884018421173096,,7.0,1.0
14,Anaheim,914,416,1406,CARS8-LP,1306862.2846921035,1.138826847076416,,8.0,1.0
15,Anaheim,914,416,1406,CARS8-QP,1305283.9332846531,1.3625609874725342,,8.0,1.0
16,Anaheim,914,416,1406,CARS9-LP,1305835.2558067164,1.2638030052185059,,9.0,1.0
17,Anaheim,914,416,1406,CARS9-QP,1305093.4291740768,1.3916358947753906,,9.0,1.0
18,Anaheim,914,416,1406,CARS10-LP,1305953.5947418236,1.3260340690612793,,10.0,1.0
19,Anaheim,914,416,1406,CARS10-QP,1305093.4291590746,1.4994611740112305,,10.0,1.0
