,Net,A,V,W,type,obj,t,RG,n,g
0,EMA_mid,258,74,1113,system-centric,3224672.096210149,84.19105980799998,0.19961608522704546,,
1,EMA_mid,258,74,1113,user-centric,7711030.901358788,82.55597715900001,1.81769306271097,,
2,EMA_mid,258,74,1113,CARS2-LP,17746217.21689768,0.17214298248291016,,2.0,6.0
3,EMA_mid,258,74,1113,CARS2-QP,3672117.6163075487,0.18188691139221191,,2.0,6.0
4,EMA_mid,258,74,1113,CARS3-LP,14476791.247765416,0.2436659336090088,,3.0,6.0
5,EMA_mid,258,74,1113,CARS3-QP,3575217.039606863,0.21991586685180664,,3.0,6.0
6,EMA_mid,258,74,1113,CARS4-LP,14135695.636967864,0.24657487869262695,,4.0,6.0
7,EMA_mid,258,74,1113,CARS4-QP,3501921.3874960802,0.28206491470336914,,4.0,6.0
8,EMA_mid,258,74,1113,CARS5-LP,14244900.871076977,0.31482601165771484,,5.0,6.0
9,EMA_mid,258,74,1113,CARS5-QP,3499791.013832905,0.3105161190032959,,5.0,6.0
10,EMA_mid,258,74,1113,CARS6-LP,12341288.271036586,0.3469359874725342,,6.0,6.0
11,EMA_mid,258,74,1113,CARS6-QP,3518910.4156419467,0.3038151264190674,,6.0,6.0
12,EMA_mid,258,74,1113,CARS7-LP,12520842.644157385,0.3251321315765381,,7.0,6.0
13,EMA_mid,258,74,1113,CARS7-QP,3509562.2787436433,0.288877010345459,,7.0,6.0
