,Net,A,V,W,type,obj,t,RG,n,g
0,NYC,3137,1351,8658,system-centric,83388181.5702203,7620.378660538,9.76939820797447E-05,,
1,NYC,3137,1351,8658,user-centric,83673373.1189615,70.4400558599991,5.59392672701803E-07,,
2,NYC,3137,1351,8658,CARS2-LP,85370753.6969837,10.4209201335907,,2,1
3,NYC,3137,1351,8658,CARS2-QP,83577372.8831745,43.480859041214,,2,1
4,NYC,3137,1351,8658,CARS3-LP,85370753.6969837,10.9929628372192,,3,1
5,NYC,3137,1351,8658,CARS3-QP,83464977.6459206,60.5376329421997,,3,1
6,NYC,3137,1351,8658,CARS4-LP,84318320.4538109,11.9935839176178,,4,1
7,NYC,3137,1351,8658,CARS4-QP,83599789.8155167,75.2818179130554,,4,1
8,NYC,3137,1351,8658,CARS5-LP,83630323.3457251,15.1241519451141,,5,1
9,NYC,3137,1351,8658,CARS5-QP,83565267.4746338,69.1402399539948,,5,1
10,NYC,3137,1351,8658,CARS6-LP,83611246.199494,18.0196158885956,,6,1
11,NYC,3137,1351,8658,CARS6-QP,83568181.7547083,51.9431991577148,,6,1
12,NYC,3137,1351,8658,CARS7-LP,83562745.871926,19.7485229969025,,7,1
13,NYC,3137,1351,8658,CARS7-QP,83539500.9021937,60.1427688598633,,7,1
14,NYC,3137,1351,8658,CARS8-LP,83563220.976406,22.5105340480804,,8,1
15,NYC,3137,1351,8658,CARS8-QP,83539501.227835,67.629264831543,,8,1
16,NYC,3137,1351,8658,CARS9-LP,83591371.1495718,26.4456129074097,,9,1
17,NYC,3137,1351,8658,CARS9-QP,83556852.7261572,52.8298299312592,,9,1
18,NYC,3137,1351,8658,CARS10-LP,83591371.1495718,29.8519928455353,,10,1
19,NYC,3137,1351,8658,CARS10-QP,83556852.7203763,57.7515950202942,,10,1
