,Net,A,V,W,type,obj,t,RG,n,g
0,NYC,3137,1351,8658,system-centric,282310102.02336085,8777.590282416002,0.004753895744061754,,
1,NYC,3137,1351,8658,user-centric,290867887.8397422,8715.784696408002,0.005542461441097206,,
2,NYC,3137,1351,8658,CARS2-LP,395876586.9265642,17.849608898162842,,2.0,3.0
3,NYC,3137,1351,8658,CARS2-QP,285609386.15441674,36.30157995223999,,2.0,3.0
4,NYC,3137,1351,8658,CARS3-LP,332758523.5603149,30.192739963531494,,3.0,3.0
5,NYC,3137,1351,8658,CARS3-QP,285079482.3713005,62.08646607398987,,3.0,3.0
6,NYC,3137,1351,8658,CARS4-LP,290509479.10102844,62.03619313240051,,4.0,3.0
7,NYC,3137,1351,8658,CARS4-QP,283011560.12164044,66.38504815101624,,4.0,3.0
8,NYC,3137,1351,8658,CARS5-LP,283298570.82881206,92.43365097045898,,5.0,3.0
9,NYC,3137,1351,8658,CARS5-QP,281635799.1145644,72.2410831451416,,5.0,3.0
10,NYC,3137,1351,8658,CARS6-LP,282737941.33488613,98.06287097930908,,6.0,3.0
11,NYC,3137,1351,8658,CARS6-QP,281293424.8361153,74.68528294563293,,6.0,3.0
12,NYC,3137,1351,8658,CARS7-LP,282311446.1078609,101.6722629070282,,7.0,3.0
13,NYC,3137,1351,8658,CARS7-QP,281086227.32060075,83.42737984657288,,7.0,3.0
