,Net,A,V,W,type,obj,t,RG,n,g
0,Sioux Falls,76,24,528,system-centric,7397580.656689719,13.883418586999998,0.07289579213286664,,
1,Sioux Falls,76,24,528,user-centric,7828245.355923714,13.623050699,0.14606450210572944,,
2,Sioux Falls,76,24,528,CARS2-LP,8559745.081087472,0.009825944900512695,,2.0,1.0
3,Sioux Falls,76,24,528,CARS2-QP,7753141.130238614,0.030452966690063477,,2.0,1.0
4,Sioux Falls,76,24,528,CARS3-LP,7587885.541179472,0.018024921417236328,,3.0,1.0
5,Sioux Falls,76,24,528,CARS3-QP,7345256.090847451,0.028892040252685547,,3.0,1.0
6,Sioux Falls,76,24,528,CARS4-LP,7460084.952136492,0.02074599266052246,,4.0,1.0
7,Sioux Falls,76,24,528,CARS4-QP,7284102.720934136,0.034609079360961914,,4.0,1.0
8,Sioux Falls,76,24,528,CARS5-LP,7412409.532573888,0.024487018585205078,,5.0,1.0
9,Sioux Falls,76,24,528,CARS5-QP,7273129.512894502,0.03275609016418457,,5.0,1.0
10,Sioux Falls,76,24,528,CARS6-LP,7311012.567656282,0.026729106903076172,,6.0,1.0
11,Sioux Falls,76,24,528,CARS6-QP,7231122.331573794,0.02891707420349121,,6.0,1.0
12,Sioux Falls,76,24,528,CARS7-LP,7261764.173812217,0.03235006332397461,,7.0,1.0
13,Sioux Falls,76,24,528,CARS7-QP,7230753.797907172,0.03484392166137695,,7.0,1.0
14,Sioux Falls,76,24,528,CARS8-LP,7244896.065659691,0.0344090461730957,,8.0,1.0
15,Sioux Falls,76,24,528,CARS8-QP,7213765.371140825,0.039811134338378906,,8.0,1.0
16,Sioux Falls,76,24,528,CARS9-LP,7232595.673219214,0.034429073333740234,,9.0,1.0
17,Sioux Falls,76,24,528,CARS9-QP,7214552.96766918,0.03811001777648926,,9.0,1.0
18,Sioux Falls,76,24,528,CARS10-LP,7225115.106143085,0.037908077239990234,,10.0,1.0
19,Sioux Falls,76,24,528,CARS10-QP,7211162.863603712,0.03988909721374512,,10.0,1.0
